date,prc_val,div_val,prc_adj_val,div_adj_val,pd,pd_adj
30jun2014,3.33e+10,7.07e+07,2.87e+10,6.90e+07,6.153872,6.030611
31jul2014,3.23e+10,4.75e+07,2.80e+10,4.52e+07,6.520978,6.427199
29aug2014,3.35e+10,7.99e+07,2.90e+10,6.66e+07,6.039527,6.076502
30sep2014,3.29e+10,4.94e+07,2.83e+10,4.92e+07,6.499244,6.353031
31oct2014,3.37e+10,4.32e+07,2.88e+10,4.15e+07,6.659204,6.544942
28nov2014,3.46e+10,8.66e+07,2.95e+10,7.34e+07,5.990069,5.996326
31dec2014,3.49e+10,7.18e+07,3.00e+10,7.03e+07,6.186346,6.054642
30jan2015,3.34e+10,3.42e+07,2.85e+10,3.26e+07,6.884288,6.773864
27feb2015,3.55e+10,8.29e+07,3.02e+10,7.13e+07,6.059287,6.047125
31mar2015,3.44e+10,5.80e+07,2.96e+10,5.50e+07,6.383822,6.29002
30apr2015,3.45e+10,3.85e+07,2.99e+10,3.65e+07,6.796654,6.705915
29may2015,3.48e+10,7.97e+07,3.00e+10,6.70e+07,6.077793,6.105977
30jun2015,3.40e+10,6.56e+07,2.95e+10,6.39e+07,6.250257,6.133805
31jul2015,3.39e+10,1.25e+08,2.98e+10,1.24e+08,5.60181,5.483939
31aug2015,3.17e+10,8.11e+07,2.79e+10,6.95e+07,5.969264,5.994869
30sep2015,3.06e+10,5.56e+07,2.69e+10,5.57e+07,6.311424,6.181557
30oct2015,3.27e+10,4.24e+07,2.88e+10,4.11e+07,6.647011,6.55347
30nov2015,3.28e+10,1.09e+08,2.89e+10,9.71e+07,5.70224,5.694959
31dec2015,3.25e+10,6.91e+07,2.89e+10,6.86e+07,6.152561,6.043475
29jan2016,2.98e+10,3.94e+07,2.65e+10,3.78e+07,6.630255,6.552814
29feb2016,2.96e+10,7.63e+07,2.63e+10,6.63e+07,5.961202,5.98323
31mar2016,3.17e+10,6.52e+07,2.81e+10,6.59e+07,6.18756,6.054978
29apr2016,3.18e+10,4.80e+07,2.84e+10,4.64e+07,6.493869,6.415011
31may2016,3.22e+10,8.49e+07,2.87e+10,7.23e+07,5.938519,5.982454
30jun2016,3.22e+10,6.61e+07,2.87e+10,6.57e+07,6.189478,6.07927
29jul2016,3.34e+10,5.39e+07,2.97e+10,5.22e+07,6.430943,6.344483
31aug2016,3.34e+10,8.41e+07,2.98e+10,7.14e+07,5.984091,6.033051
30sep2016,3.37e+10,5.53e+07,2.98e+10,5.54e+07,6.411607,6.289226
31oct2016,3.30e+10,4.70e+07,2.92e+10,4.57e+07,6.553679,6.460661
30nov2016,3.39e+10,9.95e+07,3.03e+10,8.69e+07,5.830508,5.853727
30dec2016,3.51e+10,6.62e+07,3.14e+10,6.55e+07,6.272464,6.171155
31jan2017,3.55e+10,3.69e+07,3.16e+10,3.81e+07,6.869825,6.71999
28feb2017,3.65e+10,8.50e+07,3.25e+10,7.49e+07,6.063868,6.07354
31mar2017,3.67e+10,6.64e+07,3.25e+10,6.44e+07,6.315169,6.22452
28apr2017,3.72e+10,4.69e+07,3.29e+10,4.39e+07,6.675309,6.618571
31may2017,3.79e+10,9.67e+07,3.33e+10,8.31e+07,5.971189,5.993172
30jun2017,3.79e+10,6.66e+07,3.35e+10,6.67e+07,6.344183,6.218698
31jul2017,3.86e+10,4.96e+07,3.41e+10,4.85e+07,6.65772,6.554868
31aug2017,3.91e+10,9.61e+07,3.42e+10,8.28e+07,6.007377,6.022883
29sep2017,3.95e+10,6.03e+07,3.48e+10,6.05e+07,6.484654,6.35495
31oct2017,4.03e+10,4.13e+07,3.55e+10,4.04e+07,6.883745,6.778378
30nov2017,4.13e+10,9.61e+07,3.64e+10,8.34e+07,6.064208,6.077709
29dec2017,4.24e+10,7.69e+07,3.76e+10,7.53e+07,6.313125,6.211993
31jan2018,4.38e+10,3.45e+07,3.88e+10,3.39e+07,7.146029,7.042932
28feb2018,4.22e+10,8.39e+07,3.71e+10,7.20e+07,6.221323,6.245478
29mar2018,4.12e+10,7.42e+07,3.64e+10,7.22e+07,6.319394,6.224929
30apr2018,4.12e+10,3.98e+07,3.65e+10,3.90e+07,6.944208,6.843757
31may2018,4.24e+10,1.04e+08,3.74e+10,9.17e+07,6.012283,6.01144
29jun2018,4.24e+10,8.23e+07,3.75e+10,8.00e+07,6.245103,6.149031
31jul2018,4.37e+10,4.69e+07,3.86e+10,4.57e+07,6.836089,6.738366
31aug2018,4.53e+10,9.68e+07,3.95e+10,8.31e+07,6.147916,6.163898
28sep2018,4.51e+10,6.56e+07,3.94e+10,6.43e+07,6.534012,6.41771
31oct2018,4.19e+10,4.89e+07,3.66e+10,4.79e+07,6.753722,6.638325
30nov2018,4.19e+10,1.03e+08,3.71e+10,8.98e+07,6.005528,6.024522
31dec2018,3.90e+10,8.86e+07,3.47e+10,8.63e+07,6.086434,5.997064
31jan2019,4.09e+10,4.17e+07,3.65e+10,4.05e+07,6.889914,6.803186
28feb2019,4.22e+10,9.03e+07,3.76e+10,8.01e+07,6.14677,6.150267
29mar2019,4.29e+10,7.24e+07,3.80e+10,7.05e+07,6.383768,6.289394
30apr2019,4.44e+10,6.27e+07,3.94e+10,8.96e+07,6.562946,6.085624
31may2019,4.13e+10,1.04e+08,3.69e+10,8.96e+07,5.989488,6.020094
28jun2019,4.44e+10,8.44e+07,3.94e+10,8.23e+07,6.266025,6.172131
31jul2019,4.51e+10,4.49e+07,3.98e+10,4.38e+07,6.910916,6.811036
30aug2019,4.40e+10,9.55e+07,3.88e+10,8.15e+07,6.13325,6.166521
30sep2019,4.47e+10,1.02e+08,3.94e+10,9.98e+07,6.086245,5.977522
31oct2019,4.59e+10,4.85e+07,4.01e+10,4.72e+07,6.853354,6.744509
29nov2019,4.75e+10,9.38e+07,4.14e+10,8.01e+07,6.227772,6.247818
31dec2019,5.09e+10,1.01e+08,4.41e+10,9.61e+07,6.221278,6.128137
31jan2020,4.95e+10,4.70e+07,4.25e+10,4.59e+07,6.960859,6.82968
28feb2020,4.57e+10,9.60e+07,3.91e+10,8.23e+07,6.165655,6.164272
31mar2020,3.94e+10,8.68e+07,3.35e+10,8.49e+07,6.118348,5.978139
30apr2020,4.47e+10,1.06e+08,3.79e+10,1.05e+08,6.043718,5.888249
29may2020,4.72e+10,8.82e+07,3.97e+10,7.63e+07,6.281531,6.254228
30jun2020,4.90e+10,7.60e+07,4.08e+10,7.16e+07,6.469031,6.345074
31jul2020,5.28e+10,6.60e+07,4.32e+10,5.82e+07,6.6846,6.609832
31aug2020,5.18e+10,8.53e+07,4.84e+10,8.17e+07,6.408507,6.385006
30sep2020,4.80e+10,7.04e+07,4.47e+10,6.82e+07,6.525105,6.48472
30oct2020,4.64e+10,4.98e+07,4.39e+10,4.88e+07,6.836821,6.800714
30nov2020,5.22e+10,8.50e+07,4.93e+10,8.37e+07,6.421045,6.378594
31dec2020,5.59e+10,1.06e+08,5.31e+10,1.04e+08,6.267698,6.240165
29jan2021,5.46e+10,5.24e+07,5.19e+10,5.14e+07,6.949147,6.915695
26feb2021,5.63e+10,7.12e+07,5.35e+10,7.03e+07,6.671823,6.634795
31mar2021,5.80e+10,8.69e+07,5.54e+10,8.52e+07,6.504383,6.47863
30apr2021,6.08e+10,4.84e+07,5.83e+10,4.75e+07,7.13569,7.111212
28may2021,6.11e+10,8.28e+07,5.87e+10,8.21e+07,6.603781,6.572653
30jun2021,6.26e+10,9.63e+07,6.05e+10,9.51e+07,6.476214,6.455685
30jul2021,6.15e+10,5.74e+07,6.10e+10,5.75e+07,6.97612,6.967093
31aug2021,6.33e+10,9.27e+07,6.27e+10,9.24e+07,6.525306,6.51924
30sep2021,6.07e+10,8.42e+07,6.01e+10,8.34e+07,6.580069,6.579927
29oct2021,6.43e+10,5.90e+07,6.40e+10,5.81e+07,6.994549,7.004372
30nov2021,6.32e+10,1.21e+08,6.30e+10,1.21e+08,6.261912,6.259796
31dec2021,6.76e+10,1.24e+08,6.73e+10,1.23e+08,6.302483,6.307003
31jan2022,6.12e+10,5.06e+07,6.11e+10,4.97e+07,7.099047,7.113564
28feb2022,6.00e+10,9.55e+07,5.99e+10,9.55e+07,6.443615,6.441544
31mar2022,6.16e+10,9.99e+07,6.15e+10,9.93e+07,6.423932,6.428957
29apr2022,5.62e+10,1.02e+08,5.62e+10,1.02e+08,6.313258,6.313904
31may2022,5.58e+10,9.36e+07,5.59e+10,9.36e+07,6.389221,6.391116
