,PD Approximation,Zeroth Order,First Order,Second Order
Latest Method,8.803948243401582,6.500204852227999,-2.7552110528284564,10.117908888004077
Expansion Suite,8.90168903887569,6.500204852227999,-2.7180067132715036,10.238981799838239
Latest Method with First Order Expansion,3.744993799399543,6.500204852227999,-2.7552110528284564,-
