,Expansion Mean,Approximation Mean,Expansion Std,Approximation Std
First Protocol,69.81824701532103,41.388685301156755,0.1945275609654153,0.028389545141643737
Second Protocol,64.25223081655162,43.56202462203879,0.029439835397846358,0.02781761875112829
First Protocol exp,43.05008799018399,41.388685301156755,0.027771941099943687,0.028389545141643737
Second Protocol exp,42.6913416592736,43.56202462203879,0.027762036916550818,0.02781761875112829
First Protocol hybrid,43.20794467245608,41.388685301156755,0.02787931084483187,0.028389545141643737
Second Protocol hybrid,43.20697723807981,43.56202462203879,0.02779058941865838,0.02781761875112829
Expansion Suite hybrid,43.206977915249375,43.56202462203836,0.02779058854342675,0.027817618751128422
