,Mean,Std
First Protocol,23.89596475078686,0.23402045256885204
Second Protocol,23.926701854025918,0.17885577540509862
First Protocol exp,20.87706309040286,0.17481908802542492
Second Protocol exp,20.56726507360894,0.17421456324926365
First Protocol hybrid,20.899041938668987,0.1746306373522618
Second Protocol hybrid,20.67095428793982,0.17437241830801112
Expansion Suite hybrid,20.670428022171254,0.1743716073747014
